"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Application Infrastructure","0","Spring Boot Context","1","0","Application startup","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate flag with rules no match","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate flag without variants","0"
"0","Feature Flags Management","0","Flag Mapper","2","0","Partial entity updates","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate disabled flag","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Create duplicate flag returns error","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Count all flags","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Save multiple flags at once","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate flag with variant splits","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Delete flag","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Sorted flag retrieval","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Prevent duplicate flag keys","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Create and retrieve feature flags","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Check flag key exists","0"
"0","Feature Flags Management","0","Flag Mapper","1","0","MapStruct code generation","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Update existing flag","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Persist and retrieve feature flag","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate flag with rules","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Delete flag by entity","0"
"0","","0","","2","0","","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Paginated flag retrieval","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Create flag with variants","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Delete flag via DELETE","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Find by non-existent key","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","List all flags with pagination","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Evaluate flag for user","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate flag with complex rules","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Create flag and verify persistence","0"
"0","Feature Flags Management","0","Flag Mapper","1","0","DTO to Entity mapping","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Update existing flag","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Get non-existent flag returns 404","0"
"0","Feature Flags Management","0","Flag Service Layer","1","0","Evaluate non-existent flag","0"
"0","Feature Flags Management","0","Flag Repository Layer","1","0","Persist flag with complex JSON","0"
"0","Feature Flags Management","0","Flag Controller API","1","0","Update flag via PATCH","0"
